"","assign"
"1","1"
"2","4"
"3","1"
"4","1"
"5","1"
"6","1"
"7","1"
"8","1"
"9","1"
"10","1"
"11","1"
"12","1"
"13","1"
"14","1"
"15","1"
"16","2"
"17","1"
"18","1"
"19","4"
"20","1"
"21","4"
"22","2"
"23","1"
"24","2"
"25","2"
"26","2"
"27","3"
"28","3"
"29","3"
"30","3"
"31","4"
"32","4"
"33","4"
"34","4"
"35","4"
"36","4"
"37","4"
"38","4"
"39","4"
"40","4"
"41","4"
"42","3"
"43","4"
"44","4"
"45","4"
"46","4"
"47","4"
"48","4"
"49","4"
"50","4"
"51","4"
"52","4"
"53","4"
"54","4"
"55","4"
"56","4"
"57","4"
"58","4"
"59","4"
"60","4"
"61","4"
"62","4"
"63","4"
"64","4"
"65","4"
"66","4"
"67","4"
"68","4"
"69","4"
"70","5"
"71","5"
"72","5"
"73","5"
"74","8"
"75","5"
"76","5"
"77","5"
"78","5"
"79","6"
"80","6"
"81","6"
"82","6"
"83","6"
"84","6"
"85","6"
"86","6"
"87","6"
"88","6"
"89","6"
"90","6"
"91","6"
"92","6"
"93","6"
"94","6"
"95","8"
"96","9"
"97","6"
"98","8"
"99","6"
"100","7"
"101","6"
"102","8"
"103","7"
"104","6"
"105","8"
"106","8"
"107","7"
"108","8"
"109","8"
"110","8"
"111","8"
"112","8"
"113","8"
"114","6"
"115","8"
"116","6"
"117","8"
"118","9"
"119","9"
"120","9"
"121","9"
"122","6"
"123","9"
"124","9"
"125","9"
"126","9"
"127","9"
"128","9"
"129","9"
"130","9"
"131","9"
"132","5"
"133","10"
"134","10"
"135","10"
"136","5"
"137","10"
"138","6"
"139","10"
"140","10"
"141","10"
"142","11"
"143","11"
"144","11"
"145","11"
"146","11"
"147","11"
"148","11"
"149","11"
"150","10"
"151","11"
"152","11"
"153","11"
"154","11"
"155","11"
"156","11"
"157","11"
"158","11"
"159","11"
"160","11"
"161","11"
"162","11"
"163","11"
"164","11"
"165","11"
"166","11"
"167","11"
"168","11"
"169","11"
"170","11"
"171","11"
"172","11"
"173","11"
"174","11"
"175","11"
"176","12"
"177","12"
"178","12"
"179","12"
"180","12"
"181","12"
"182","12"
"183","12"
"184","12"
"185","12"
"186","12"
"187","12"
"188","12"
"189","12"
"190","12"
"191","12"
"192","12"
"193","12"
"194","12"
"195","12"
"196","12"
"197","12"
"198","12"
"199","12"
"200","12"
"201","12"
"202","12"
"203","12"
"204","12"
"205","14"
"206","13"
"207","14"
"208","13"
"209","13"
"210","13"
"211","13"
"212","14"
"213","13"
"214","14"
"215","14"
"216","14"
"217","14"
"218","13"
"219","14"
"220","14"
"221","14"
"222","14"
"223","14"
"224","14"
