key,Population,Lat,Lng
794,Orcadian,59.0,-3.0
795,Orcadian,59.0,-3.0
796,Orcadian,59.0,-3.0
797,Orcadian,59.0,-3.0
798,Orcadian,59.0,-3.0
799,Orcadian,59.0,-3.0
800,Orcadian,59.0,-3.0
801,Orcadian,59.0,-3.0
802,Orcadian,59.0,-3.0
803,Orcadian,59.0,-3.0
804,Orcadian,59.0,-3.0
805,Orcadian,59.0,-3.0
806,Orcadian,59.0,-3.0
807,Orcadian,59.0,-3.0
808,Orcadian,59.0,-3.0
810,Orcadian,59.0,-3.0
1381,Adygei,44.0,39.0
1382,Adygei,44.0,39.0
1383,Adygei,44.0,39.0
1384,Adygei,44.0,39.0
1385,Adygei,44.0,39.0
1386,Adygei,44.0,39.0
1387,Adygei,44.0,39.0
1388,Adygei,44.0,39.0
1396,Adygei,44.0,39.0
1397,Adygei,44.0,39.0
1398,Adygei,44.0,39.0
1399,Adygei,44.0,39.0
1400,Adygei,44.0,39.0
1401,Adygei,44.0,39.0
1402,Adygei,44.0,39.0
1403,Adygei,44.0,39.0
1404,Adygei,44.0,39.0
879,Russian,61.0,40.0
880,Russian,61.0,40.0
881,Russian,61.0,40.0
882,Russian,61.0,40.0
883,Russian,61.0,40.0
884,Russian,61.0,40.0
885,Russian,61.0,40.0
886,Russian,61.0,40.0
887,Russian,61.0,40.0
888,Russian,61.0,40.0
889,Russian,61.0,40.0
890,Russian,61.0,40.0
891,Russian,61.0,40.0
892,Russian,61.0,40.0
893,Russian,61.0,40.0
894,Russian,61.0,40.0
895,Russian,61.0,40.0
896,Russian,61.0,40.0
897,Russian,61.0,40.0
898,Russian,61.0,40.0
899,Russian,61.0,40.0
900,Russian,61.0,40.0
901,Russian,61.0,40.0
902,Russian,61.0,40.0
903,Russian,61.0,40.0
1357,Basque,43.0,0.0
1358,Basque,43.0,0.0
1359,Basque,43.0,0.0
1360,Basque,43.0,0.0
1361,Basque,43.0,0.0
1362,Basque,43.0,0.0
1363,Basque,43.0,0.0
1364,Basque,43.0,0.0
1365,Basque,43.0,0.0
1366,Basque,43.0,0.0
1367,Basque,43.0,0.0
1368,Basque,43.0,0.0
1369,Basque,43.0,0.0
1370,Basque,43.0,0.0
1371,Basque,43.0,0.0
1372,Basque,43.0,0.0
1373,Basque,43.0,0.0
1374,Basque,43.0,0.0
1375,Basque,43.0,0.0
1376,Basque,43.0,0.0
1377,Basque,43.0,0.0
1378,Basque,43.0,0.0
1379,Basque,43.0,0.0
1380,Basque,43.0,0.0
511,French,46.0,2.0
512,French,46.0,2.0
513,French,46.0,2.0
514,French,46.0,2.0
515,French,46.0,2.0
516,French,46.0,2.0
517,French,46.0,2.0
518,French,46.0,2.0
519,French,46.0,2.0
520,French,46.0,2.0
521,French,46.0,2.0
522,French,46.0,2.0
523,French,46.0,2.0
524,French,46.0,2.0
525,French,46.0,2.0
526,French,46.0,2.0
527,French,46.0,2.0
528,French,46.0,2.0
529,French,46.0,2.0
530,French,46.0,2.0
531,French,46.0,2.0
532,French,46.0,2.0
533,French,46.0,2.0
534,French,46.0,2.0
535,French,46.0,2.0
536,French,46.0,2.0
537,French,46.0,2.0
538,French,46.0,2.0
539,French,46.0,2.0
1147,Italian,46.0,10.0
1149,Italian,46.0,10.0
1151,Italian,46.0,10.0
1152,Italian,46.0,10.0
1153,Italian,46.0,10.0
1155,Italian,46.0,10.0
1156,Italian,46.0,10.0
1157,Italian,46.0,10.0
1171,Italian,46.0,10.0
1172,Italian,46.0,10.0
1173,Italian,46.0,10.0
1174,Italian,46.0,10.0
1177,Italian,46.0,10.0
665,Sardinian,40.0,9.0
666,Sardinian,40.0,9.0
667,Sardinian,40.0,9.0
668,Sardinian,40.0,9.0
669,Sardinian,40.0,9.0
670,Sardinian,40.0,9.0
671,Sardinian,40.0,9.0
672,Sardinian,40.0,9.0
673,Sardinian,40.0,9.0
674,Sardinian,40.0,9.0
1062,Sardinian,40.0,9.0
1063,Sardinian,40.0,9.0
1064,Sardinian,40.0,9.0
1065,Sardinian,40.0,9.0
1066,Sardinian,40.0,9.0
1067,Sardinian,40.0,9.0
1068,Sardinian,40.0,9.0
1069,Sardinian,40.0,9.0
1070,Sardinian,40.0,9.0
1071,Sardinian,40.0,9.0
1072,Sardinian,40.0,9.0
1073,Sardinian,40.0,9.0
1074,Sardinian,40.0,9.0
1075,Sardinian,40.0,9.0
1076,Sardinian,40.0,9.0
1077,Sardinian,40.0,9.0
1078,Sardinian,40.0,9.0
1079,Sardinian,40.0,9.0
1161,Tuscan,43.0,11.0
1162,Tuscan,43.0,11.0
1163,Tuscan,43.0,11.0
1164,Tuscan,43.0,11.0
1166,Tuscan,43.0,11.0
1167,Tuscan,43.0,11.0
1168,Tuscan,43.0,11.0
1169,Tuscan,43.0,11.0
1253,Mozabite,32.0,3.0
1254,Mozabite,32.0,3.0
1255,Mozabite,32.0,3.0
1256,Mozabite,32.0,3.0
1257,Mozabite,32.0,3.0
1258,Mozabite,32.0,3.0
1259,Mozabite,32.0,3.0
1260,Mozabite,32.0,3.0
1261,Mozabite,32.0,3.0
1262,Mozabite,32.0,3.0
