"","posterior.1","posterior.10","posterior.11","posterior.12","posterior.13","posterior.14","posterior.2","posterior.3","posterior.4","posterior.5","posterior.6","posterior.7","posterior.8","posterior.9"
"Senegal_Casamance_6285",0.99961598226042,1.41870280740783e-26,9.67242714644369e-35,2.57291647107087e-36,8.73624871281161e-32,1.03821075803638e-34,0.000384017739408327,8.50436254586375e-15,1.6325885988351e-13,1.23108291211958e-27,2.12757206112669e-22,2.58495293453728e-25,1.72259708199956e-25,1.66006282659251e-36
"Senegal_Casamance_6286",0.0364424652233576,1.76040341529356e-11,7.3235853575178e-17,4.09447569205916e-20,4.46971063937404e-09,7.02348986928166e-13,0.205745209903386,5.41612965200798e-05,0.75775814875976,1.11361521924121e-13,1.02691563952106e-08,5.89919263735543e-11,6.99443880403209e-13,3.99310917460049e-21
"Senegal_Casamance_6288",0.955009898477078,2.28155124795366e-22,4.30464666275209e-29,5.56841738684411e-31,4.15633377719436e-18,1.04411169043399e-21,0.0449901015129096,3.19126408828785e-14,9.98064402615043e-12,2.34977346081478e-24,1.14023384205902e-18,1.74814786049674e-21,3.96243133832488e-23,5.05437446506525e-31
"Senegal_Casamance_6289",0.985403825605635,4.31476990062521e-24,5.08965078806224e-29,7.84287138831346e-34,5.49306860440249e-22,1.51855419598885e-25,0.0145961741121338,2.79893149889579e-14,2.82203419209993e-10,1.60458188298306e-25,1.83667301682701e-20,3.13938432062644e-24,1.01075935935392e-24,2.43129402208357e-35
"Senegal_Casamance_6290",0.999953232498268,1.73292609439086e-31,3.37705720949473e-42,3.41327927063731e-40,8.52425421537958e-25,4.01154518108844e-29,4.67675017316324e-05,2.75962213421795e-17,1.00845604636672e-16,2.36085013505413e-32,4.08635118101003e-27,1.72184362008841e-29,3.24768508310072e-31,1.19052112286023e-43
"Senegal_Casamance_6292",0.994771193232696,4.15779044542419e-21,4.68011287528752e-30,1.25073631261174e-32,6.00012717341582e-21,2.64847018219207e-24,0.0052288064409897,9.62704809235013e-13,3.2535126130128e-10,4.70654769091173e-21,2.41381701889296e-17,1.18123786108051e-20,3.17146986094485e-22,3.22493743140413e-32
"Senegal_Casamance_6293",0.99995449707685,9.19879652209444e-24,1.38154590059656e-31,1.51992618831647e-29,1.72286109572992e-18,2.05320841402268e-21,4.55026215098092e-05,2.07736760022548e-10,9.39033162967532e-11,1.92443340211778e-25,1.00071558975635e-18,2.63456998689822e-21,7.77977510973814e-23,3.18651361864951e-31
"Senegal_Casamance_6294",0.999998964379589,2.4921976463562e-24,1.02514540529259e-30,6.11946736100331e-32,1.31031182090068e-19,2.90440940922005e-22,1.03486231055381e-06,5.58902469053907e-10,1.99197650010246e-10,4.25325358209203e-24,3.71375272186701e-19,8.40197669916278e-23,7.99883430657962e-24,3.58403698711131e-31
"Senegal_Casamance_6295",0.99965650911214,1.749471763297e-28,2.39821673677163e-36,6.65496515964358e-42,1.04662752581383e-30,1.82604636607164e-34,0.000343490887860357,5.50435714560751e-18,1.5964721723925e-16,2.91421154306538e-29,5.44315059119954e-25,1.28659187702173e-27,1.1459298038465e-29,1.00049632611718e-37
"Senegal_Casamance_6296",0.999998387897213,1.36594699437995e-29,5.16413084462938e-38,4.58043750371385e-40,2.04742969071409e-27,4.9081276933237e-31,1.61210275099894e-06,2.03148587674992e-14,1.61299434610089e-14,1.11466664347289e-29,1.30051790970853e-24,4.98188825680974e-27,2.9929846295181e-29,2.65923574475385e-40
"Senegal_Casamance_6297",0.999997115442704,7.99623182786955e-30,1.74488510408701e-36,1.45506136691931e-41,7.42394307270233e-29,4.66659603968857e-32,2.88455729501703e-06,4.97955561085226e-16,6.00345449237417e-16,9.03409296594065e-32,3.92652924162273e-26,6.08238668834003e-30,2.10121823340209e-30,3.46438892959545e-37
"Senegal_Casamance_6298",0.999984856824133,4.2669817769706e-31,3.67113457863946e-40,1.67466032215936e-42,7.52107573025484e-31,3.56006826290567e-35,1.51431758674198e-05,1.0211110207115e-16,5.17600486526479e-17,2.13927999557176e-32,4.1468485355531e-27,2.0615046657327e-29,1.54909427344777e-30,4.90967889243546e-40
"Senegal_Casamance_6299",0.999524547228603,9.79784990442139e-23,1.56722532110425e-31,1.58596809623428e-28,3.18553474423284e-21,8.62936896472372e-24,0.000475429416897034,1.78205029268707e-09,2.15724500608983e-08,1.04531583114376e-22,1.20800427383011e-17,1.21979060145922e-21,7.12491527029374e-22,2.10690348666543e-30
"Senegal_Casamance_6300",0.999767693409041,1.00278450372146e-25,2.78026163020496e-34,3.81816657073812e-29,2.0928887496411e-21,3.21531950248607e-24,0.000232306582703988,8.25250006352316e-13,7.42952335011554e-12,6.12535452259571e-25,8.34724534621124e-20,2.41917129197497e-23,1.20354460624907e-24,3.0936158882919e-32
"Senegal_Casamance_6301",0.794013611116519,2.01198532277066e-25,2.53553160265991e-34,4.79042987568485e-31,1.65516320219687e-21,2.35934786425352e-25,0.205986388883044,1.28234063017838e-17,4.37472690049417e-13,7.83205576989877e-26,9.00480775139723e-22,6.48430860449914e-25,3.37758966892686e-26,3.05065800707155e-37
"Senegal_Casamance_6302",0.0888600985323767,1.47639525461327e-10,3.39795274644741e-14,1.98215530040073e-15,6.42404403220172e-09,6.50904022361643e-10,0.893050935409978,9.43858927961103e-08,0.0180885260572786,6.65516339308633e-13,3.38374083198103e-07,1.5739796086148e-11,1.36189357210179e-12,1.08498526004899e-18
"Senegal_Casamance_6303",0.999893582396878,1.03906150814195e-29,4.19891540585798e-38,3.79598033539458e-41,1.04897629869637e-28,1.81545590001252e-31,0.000106417603118189,4.63328842857312e-16,3.22570156783818e-15,1.31321050552279e-33,3.90611499401785e-28,3.99004422673115e-32,1.57318708981042e-33,3.60316242255801e-42
"Senegal_Casamance_6305",0.979837978496587,1.13637762732707e-26,1.1759197253609e-34,9.16914000447633e-34,2.6371402437629e-22,2.28048830559112e-26,0.0201620215014119,1.38488344934109e-15,1.9993307074581e-12,1.36749919075406e-27,9.11681847723919e-23,2.03886302516103e-26,4.63711360436182e-28,1.75847074758656e-35
"Tanzania_6573",3.1585352627854e-05,5.81578349000494e-05,1.41336369645405e-12,3.53591076822583e-12,6.37046114210165e-08,4.98288853777802e-09,0.0335151785682343,6.73942791398202e-05,0.941130378623522,1.15564181603705e-07,0.0251824301713348,1.23001726886499e-05,2.39072579052582e-06,1.51309915302779e-11
"Tanzania_6579",0.618124728422181,1.65781900370028e-27,7.1238225028778e-38,5.71288141640976e-39,5.71781191963741e-26,1.65259659868518e-30,0.381875271577819,1.61965302074779e-20,7.04596242608215e-17,1.57990281579008e-29,7.89773894233706e-25,1.1829291570733e-28,2.22160330752964e-30,1.19933149009471e-36
"Tanzania_6580",0.000311387013107116,0.000250742511233037,1.30392629719453e-07,2.53224240915237e-11,8.61061657796053e-08,2.804850829314e-09,0.389230626503165,3.49918505566546e-07,0.609288786388438,3.79064461276128e-07,0.000916330221242491,9.20677711545865e-07,2.58373162963979e-07,3.78663179336448e-15
"Tanzania_6581",7.71385041411076e-05,5.58983020079227e-22,1.25633588084244e-31,6.92473795368839e-28,4.50752536998844e-24,3.48300977448295e-26,0.999922861494063,1.85487993720034e-20,1.79614058717687e-12,1.87542823585468e-22,8.1703086081618e-19,3.50621051466344e-24,4.16726689237095e-24,8.43999009322314e-35
"Tanzania_6583",0.58800052137571,3.13795209251563e-23,1.80111991709084e-28,2.68936155813371e-28,1.71336178412119e-20,5.36825229997677e-24,0.411999478624233,1.2342534882975e-16,5.75224091994597e-14,3.28179920382144e-24,5.84389384851416e-20,9.16239730822548e-24,4.18174263913619e-25,7.54145094426894e-28
"Tanzania_6588",0.00425996979603332,1.48757541303848e-18,9.25580505740576e-25,2.25439816048062e-27,3.07566255654602e-20,1.60964882008055e-23,0.995740030199139,2.09668000872561e-18,4.82760377499944e-12,2.28008433556981e-20,6.39279414872068e-18,9.48455761060717e-21,8.17608983843422e-23,6.41801878850246e-31
"Tanzania_6589",0.000545992743398821,1.08391849273262e-18,3.77352271912947e-24,4.5690086182565e-24,9.15703752374999e-20,1.2820120667674e-21,0.999454005974476,1.03119492631934e-17,1.28212512859259e-09,4.76115954871473e-21,5.25580325412743e-16,4.63143880835305e-21,1.38941096309059e-21,7.09218167092348e-30
"Tanzania_6593",0.000764071232009518,8.71524756558705e-24,3.28463991370955e-32,1.02764580019031e-32,1.08357819663117e-25,6.74290816634241e-30,0.999235928767968,1.81913339472756e-20,2.29116614714243e-14,1.25800568718588e-26,4.12440469407091e-23,1.50696543972252e-26,1.52304652482226e-28,1.12239454425746e-35
"Nepal_7074",5.78987218134628e-14,1.49452704369125e-16,2.25854444809766e-21,4.5967740554833e-19,1.64549234157886e-09,1.90285605089639e-11,1.67785839734013e-19,0.999848466388688,0.000151530336328968,1.34682189026214e-12,1.55868962990657e-09,1.89445563744317e-11,3.14229827405326e-11,5.69720014880267e-23
"Nepal_7076",4.05854763540046e-16,1.52799476730291e-13,5.58008087165117e-20,2.33842195850343e-21,8.99560452713836e-21,7.78082705668593e-22,7.54936834767038e-20,0.999684171308284,0.000315825168422641,3.94780742209278e-13,3.45127902920485e-09,6.24312053268744e-11,9.03540596541884e-12,1.05487828012172e-21
"Nepal_7077",6.68577081404724e-07,1.00954416691111e-14,1.76205401410726e-21,1.69372217505266e-26,6.69111030625784e-19,5.51480515103882e-22,2.00794935306565e-07,0.979469534811592,0.0205295945572134,1.19498007925567e-14,1.25610062985241e-09,3.05252800083382e-12,2.89738482150108e-15,6.761567988596e-22
"Nepal_7078",2.29837773009007e-11,3.24875706940636e-13,2.05643986448097e-18,4.93922541114619e-14,3.23429932516893e-08,1.72789308909474e-09,9.8589014310587e-13,0.770707442353224,0.229290948789596,4.54411330993582e-13,1.57439275700742e-06,2.46490066653607e-10,1.22246335982215e-10,1.60459934358939e-15
"Bangladesh_6661",1.90001123698438e-17,6.58106832636128e-10,4.7847888953635e-16,9.53277328565625e-14,4.34392116396207e-12,4.82176353023055e-14,3.02691438508728e-15,0.000226067433781568,0.999713662343313,9.79169518867088e-08,6.00119117495676e-05,5.23287509198692e-08,1.07402854795366e-07,3.92286248727464e-22
"Bangladesh_6669",9.50573302804848e-14,2.58308068577702e-06,9.94895714841954e-09,7.94191762898582e-12,2.00807971176677e-12,5.3530619625697e-13,8.5774210379186e-13,0.0193398942002981,0.961260741091669,0.000209610528724494,0.0191688484706206,1.2407099223884e-05,5.90556837864743e-06,4.42512599612123e-15
"Bangladesh_6699",8.16648535156729e-06,2.15942428357929e-16,8.09330039659636e-23,2.22026913632584e-18,8.02453587033677e-14,4.79984451872283e-14,8.69852828296725e-09,6.22428479568931e-06,0.999985600380662,1.37878649662781e-16,1.50507026261171e-10,1.33550487562322e-14,1.35957530650352e-14,8.88192149333578e-28
"Bangladesh_6705",5.31555844645684e-12,4.7580312278753e-10,3.18152856934803e-14,6.31102402748461e-10,1.8716554680162e-07,3.45016215643851e-09,1.81951333491757e-12,0.0527194592124447,0.947194914374705,1.76302052536262e-09,8.42715264338545e-05,9.77816115110125e-07,1.83577499614997e-07,3.04162589836728e-19
"Bangladesh_6711",8.68655886775303e-11,7.45057985596648e-12,7.96194728770816e-17,7.67643796030253e-17,7.80220456886397e-13,2.78106581222448e-14,4.60248597622189e-09,7.17423416844144e-07,0.999999235219381,7.23313420072809e-11,4.25807775222227e-08,3.18377627364661e-12,3.29955658391429e-12,2.98785548000977e-26
"Bangladesh_6727",8.4359398662526e-13,1.39416432143748e-12,5.51503375304087e-19,1.29854530066662e-19,9.27559771397415e-13,7.6076473900649e-14,2.25560178380425e-10,6.92736415160152e-07,0.999999306190895,4.1882754163316e-16,8.43842469124996e-10,2.66193221064409e-14,1.85310980179673e-14,5.08176792530303e-21
"Bangladesh_6733",2.53349170246239e-10,3.25333577365291e-07,9.12497711822955e-10,8.20194777104708e-12,5.78254270024959e-14,1.93760692309831e-14,1.79973150604491e-05,4.57290329849651e-11,0.997786388831589,7.56676297296969e-06,0.00218420065640053,1.14374381383504e-08,3.50844310658713e-06,2.43733530673981e-16
"Bangladesh_6740",1.49761440349336e-07,2.96088052733674e-13,1.6620424110684e-18,2.85616153190477e-18,2.48339183566722e-13,2.16096709168558e-16,1.23009029054915e-08,0.00652951585170849,0.993470320997155,1.62802763259397e-12,9.89517076291938e-10,9.64926311569148e-11,6.10705033622947e-13,1.39068128476307e-24
"Bangladesh_6749",8.21809499466686e-11,6.95790770369684e-09,2.66247703142203e-14,3.2279466959733e-14,2.27901836895259e-10,1.76232186514919e-10,1.60978898397599e-11,0.00086277145909664,0.996533798751385,2.07151782758293e-07,0.002602731362583,1.9100536176403e-08,4.64714120313616e-07,1.16345878060858e-13
"Bangladesh_6759",9.771463128114e-15,7.88272064002069e-11,2.9603534494854e-17,5.52955035850471e-16,2.28280679198014e-12,3.13472225656764e-13,3.10245913871488e-12,1.93144265604485e-06,0.999997870947024,3.44672195655155e-12,1.9730325928244e-07,1.21645343818554e-11,2.06913080066064e-10,1.50350679018586e-22
"Bangladesh_6769",3.24413578317258e-11,4.01872445633988e-13,5.43776048726404e-17,1.0426883196785e-16,1.19554704317463e-12,4.70115035705689e-13,4.27583555487119e-11,2.51951069890447e-05,0.999974801100629,2.20519019749018e-14,3.71056277256375e-09,2.07928649012351e-12,2.45048832038099e-12,3.63805910792362e-22
"Bangladesh_6775",7.09584888562744e-14,6.65245964732704e-12,1.34726018915851e-16,8.71946273783791e-16,2.34315491123006e-08,5.64006680749594e-11,1.54891124032234e-15,0.606108713957145,0.393875358157464,2.04700350511096e-10,1.57982801745965e-05,4.40640210336509e-08,6.18418187695465e-08,6.1293706880043e-18
"Bangladesh_6778",9.13816546105649e-15,3.214575935452e-10,5.91568301784611e-14,8.00957891169695e-15,1.40917061800798e-13,4.04001272285533e-14,4.06014747897094e-12,3.66217221056015e-05,0.99994867185658,1.50995115765526e-10,1.47045605373694e-05,6.33672852222187e-10,7.50333366947656e-10,1.89397805740622e-16
"Bangladesh_6792",1.56621484989706e-14,2.65501336891562e-12,9.10520163302402e-19,8.33425202451899e-12,8.88132974438872e-14,5.79114581741523e-14,2.94350814172545e-13,4.69450385423597e-06,0.999992979649037,9.98740204521193e-10,2.32180650760296e-06,1.51261894819429e-11,3.01528864012787e-09,1.73578292743907e-23
"Bangladesh_6799",4.23374415874009e-14,5.02647563503779e-09,1.98670243037367e-11,4.25229662028912e-10,4.60924541117055e-13,1.3654988340235e-13,7.52158016580196e-10,9.30152025171753e-07,0.999903951021341,9.4747584898054e-09,9.50616480194632e-05,6.9544300335525e-09,3.45250556900416e-08,4.41953820157451e-16
"Bangladesh_6814",0.014438879135413,1.39311021385372e-12,2.91620971294701e-22,3.94178460210725e-18,6.57000554604588e-10,3.81177024952406e-11,0.00282690791401016,0.000138395538288201,0.982595670383581,2.57603279321829e-13,1.46293338665745e-07,1.26793513531052e-11,2.59207641918899e-11,7.20631424035232e-23
"Bangladesh_6816",3.89157422063946e-11,1.36624642238076e-12,1.31390323710679e-14,9.79123705289408e-17,3.82626854212725e-11,1.6327712403353e-12,3.02167602155515e-12,0.000899368858840556,0.999099201284426,1.26575158356894e-12,1.42812485735156e-06,6.29444325528244e-11,1.58445338732776e-09,2.41140141391114e-18
"Bangladesh_6824",2.55215254266979e-10,1.90701971670425e-10,7.33599282639083e-11,2.98636717655074e-14,9.72441577580035e-11,6.94810499706921e-12,3.28299517723629e-11,0.0130553132981206,0.986937131574973,8.0500320098387e-13,7.54926720147333e-06,3.78103495603596e-10,4.824464060921e-09,3.50615615934205e-15
"Bangladesh_6834",6.05683559076913e-10,4.50268198503537e-12,3.27051348728668e-14,8.29439189070922e-18,5.55191300416471e-18,1.13186862192743e-18,3.7237450263626e-09,0.000217813689495361,0.999781803496857,1.84048804020876e-11,3.78310245572278e-07,1.05197563113683e-10,4.5835603536118e-11,1.00580159486308e-21
"Bangladesh_6845",3.7278926748196e-08,9.01988414275734e-08,7.36456818299243e-13,2.21154079060678e-09,5.95533719298556e-06,7.59928408700619e-09,0.000704409943943771,1.34109966752311e-06,0.997756696092175,3.8459300965337e-08,0.00153085072956556,4.65027689584802e-07,1.06021132816856e-07,2.26857878790218e-15
"Bangladesh_6868",6.96248682635197e-11,6.84086952357411e-09,5.19281154045896e-18,8.01164609794636e-15,2.67248794339334e-07,3.34407616936312e-07,1.85039658877952e-08,1.23493211359599e-05,0.998811319106424,3.8675052466721e-08,0.00117540524354635,1.88904853136923e-08,2.4169247698371e-07,1.25286911023304e-17
"Bangladesh_6881",3.02444343397193e-11,5.20776784139505e-07,1.62039782875642e-10,5.83488768319473e-08,1.70170671180853e-07,1.18460632348447e-07,3.5686587730564e-09,1.81471397026471e-05,0.972295737721822,3.31354860107932e-07,0.0276689517942286,1.26509974666955e-05,3.30947363344016e-06,3.79186531547654e-13
"Bangladesh_6902",1.45248121261737e-16,2.83543915787249e-09,6.67490261453759e-16,7.7617643643264e-10,2.23800912687668e-10,1.10602432781712e-09,2.44199174208089e-14,3.47620116090529e-08,0.999988192322806,5.51815974336775e-10,1.17501719151279e-05,2.18232660283593e-09,1.5067658914378e-08,2.02459352145842e-21
"Bangladesh_6908",3.11196593727709e-11,4.10638047381726e-10,6.59579493757679e-15,2.66151961611067e-15,9.16563703669697e-15,8.17199749984636e-17,9.66021289966038e-12,0.0107587497996645,0.989241200150951,1.60725975745723e-11,4.91221160946358e-08,3.22546756658208e-10,1.37212099434794e-10,9.05444237175202e-18
"Bangladesh_6914",6.82845747849975e-12,9.17364863794569e-07,5.14410424342701e-13,3.35906240661503e-14,1.11507111309822e-11,1.24025285511601e-14,1.74745393135111e-09,0.0245117361043845,0.964741899203029,0.00214850789527823,0.00764294284009173,0.000944454956618896,9.53986974041437e-06,5.42325893733852e-19
