key,Population,lat,lon
794,Orcadian,59,-3
795,Orcadian,59,-3
796,Orcadian,59,-3
797,Orcadian,59,-3
798,Orcadian,59,-3
799,Orcadian,59,-3
800,Orcadian,59,-3
801,Orcadian,59,-3
802,Orcadian,59,-3
803,Orcadian,59,-3
804,Orcadian,59,-3
805,Orcadian,59,-3
806,Orcadian,59,-3
807,Orcadian,59,-3
808,Orcadian,59,-3
810,Orcadian,59,-3
1381,Adygei,44,39
1382,Adygei,44,39
1383,Adygei,44,39
1384,Adygei,44,39
1385,Adygei,44,39
1386,Adygei,44,39
1387,Adygei,44,39
1388,Adygei,44,39
1396,Adygei,44,39
1397,Adygei,44,39
1398,Adygei,44,39
1399,Adygei,44,39
1400,Adygei,44,39
1401,Adygei,44,39
1402,Adygei,44,39
1403,Adygei,44,39
1404,Adygei,44,39
879,Russian,61,40
880,Russian,61,40
881,Russian,61,40
882,Russian,61,40
883,Russian,61,40
884,Russian,61,40
885,Russian,61,40
886,Russian,61,40
887,Russian,61,40
888,Russian,61,40
889,Russian,61,40
890,Russian,61,40
891,Russian,61,40
892,Russian,61,40
893,Russian,61,40
894,Russian,61,40
895,Russian,61,40
896,Russian,61,40
897,Russian,61,40
898,Russian,61,40
899,Russian,61,40
900,Russian,61,40
901,Russian,61,40
902,Russian,61,40
903,Russian,61,40
1357,Basque,43,0
1358,Basque,43,0
1359,Basque,43,0
1360,Basque,43,0
1361,Basque,43,0
1362,Basque,43,0
1363,Basque,43,0
1364,Basque,43,0
1365,Basque,43,0
1366,Basque,43,0
1367,Basque,43,0
1368,Basque,43,0
1369,Basque,43,0
1370,Basque,43,0
1371,Basque,43,0
1372,Basque,43,0
1373,Basque,43,0
1374,Basque,43,0
1375,Basque,43,0
1376,Basque,43,0
1377,Basque,43,0
1378,Basque,43,0
1379,Basque,43,0
1380,Basque,43,0
511,French,46,2
512,French,46,2
513,French,46,2
514,French,46,2
515,French,46,2
516,French,46,2
517,French,46,2
518,French,46,2
519,French,46,2
520,French,46,2
521,French,46,2
522,French,46,2
523,French,46,2
524,French,46,2
525,French,46,2
526,French,46,2
527,French,46,2
528,French,46,2
529,French,46,2
530,French,46,2
531,French,46,2
532,French,46,2
533,French,46,2
534,French,46,2
535,French,46,2
536,French,46,2
537,French,46,2
538,French,46,2
539,French,46,2
1147,Italian,46,10
1149,Italian,46,10
1151,Italian,46,10
1152,Italian,46,10
1153,Italian,46,10
1155,Italian,46,10
1156,Italian,46,10
1157,Italian,46,10
1171,Italian,46,10
1172,Italian,46,10
1173,Italian,46,10
1174,Italian,46,10
1177,Italian,46,10
665,Sardinian,40,9
666,Sardinian,40,9
667,Sardinian,40,9
668,Sardinian,40,9
669,Sardinian,40,9
670,Sardinian,40,9
671,Sardinian,40,9
672,Sardinian,40,9
673,Sardinian,40,9
674,Sardinian,40,9
1062,Sardinian,40,9
1063,Sardinian,40,9
1064,Sardinian,40,9
1065,Sardinian,40,9
1066,Sardinian,40,9
1067,Sardinian,40,9
1068,Sardinian,40,9
1069,Sardinian,40,9
1070,Sardinian,40,9
1071,Sardinian,40,9
1072,Sardinian,40,9
1073,Sardinian,40,9
1074,Sardinian,40,9
1075,Sardinian,40,9
1076,Sardinian,40,9
1077,Sardinian,40,9
1078,Sardinian,40,9
1079,Sardinian,40,9
1161,Tuscan,43,11
1162,Tuscan,43,11
1163,Tuscan,43,11
1164,Tuscan,43,11
1166,Tuscan,43,11
1167,Tuscan,43,11
1168,Tuscan,43,11
1169,Tuscan,43,11
1253,Mozabite,32,3
1254,Mozabite,32,3
1255,Mozabite,32,3
1256,Mozabite,32,3
1257,Mozabite,32,3
1258,Mozabite,32,3
1259,Mozabite,32,3
1260,Mozabite,32,3
1261,Mozabite,32,3
1262,Mozabite,32,3
1263,Mozabite,32,3
1264,Mozabite,32,3
1265,Mozabite,32,3
1266,Mozabite,32,3
1267,Mozabite,32,3
1268,Mozabite,32,3
1269,Mozabite,32,3
1270,Mozabite,32,3
1271,Mozabite,32,3
1272,Mozabite,32,3
1273,Mozabite,32,3
1274,Mozabite,32,3
1275,Mozabite,32,3
1276,Mozabite,32,3
1277,Mozabite,32,3
1278,Mozabite,32,3
1279,Mozabite,32,3
1280,Mozabite,32,3
1281,Mozabite,32,3
1282,Mozabite,32,3
607,Bedouin,31,35
608,Bedouin,31,35
609,Bedouin,31,35
610,Bedouin,31,35
611,Bedouin,31,35
612,Bedouin,31,35
613,Bedouin,31,35
614,Bedouin,31,35
615,Bedouin,31,35
616,Bedouin,31,35
617,Bedouin,31,35
618,Bedouin,31,35
619,Bedouin,31,35
620,Bedouin,31,35
621,Bedouin,31,35
622,Bedouin,31,35
623,Bedouin,31,35
624,Bedouin,31,35
625,Bedouin,31,35
626,Bedouin,31,35
627,Bedouin,31,35
628,Bedouin,31,35
629,Bedouin,31,35
630,Bedouin,31,35
631,Bedouin,31,35
632,Bedouin,31,35
633,Bedouin,31,35
634,Bedouin,31,35
635,Bedouin,31,35
636,Bedouin,31,35
637,Bedouin,31,35
638,Bedouin,31,35
639,Bedouin,31,35
640,Bedouin,31,35
641,Bedouin,31,35
642,Bedouin,31,35
643,Bedouin,31,35
644,Bedouin,31,35
645,Bedouin,31,35
646,Bedouin,31,35
647,Bedouin,31,35
648,Bedouin,31,35
649,Bedouin,31,35
650,Bedouin,31,35
651,Bedouin,31,35
653,Bedouin,31,35
654,Bedouin,31,35
701,Bedouin,31,35
557,Druze,32,35
558,Druze,32,35
559,Druze,32,35
560,Druze,32,35
561,Druze,32,35
562,Druze,32,35
563,Druze,32,35
564,Druze,32,35
565,Druze,32,35
566,Druze,32,35
567,Druze,32,35
568,Druze,32,35
569,Druze,32,35
570,Druze,32,35
571,Druze,32,35
572,Druze,32,35
573,Druze,32,35
574,Druze,32,35
575,Druze,32,35
576,Druze,32,35
577,Druze,32,35
578,Druze,32,35
579,Druze,32,35
580,Druze,32,35
581,Druze,32,35
582,Druze,32,35
583,Druze,32,35
584,Druze,32,35
585,Druze,32,35
586,Druze,32,35
587,Druze,32,35
588,Druze,32,35
590,Druze,32,35
591,Druze,32,35
592,Druze,32,35
594,Druze,32,35
595,Druze,32,35
597,Druze,32,35
598,Druze,32,35
599,Druze,32,35
600,Druze,32,35
601,Druze,32,35
602,Druze,32,35
603,Druze,32,35
604,Druze,32,35
605,Druze,32,35
606,Druze,32,35
675,Palestinian,32,35
676,Palestinian,32,35
677,Palestinian,32,35
678,Palestinian,32,35
679,Palestinian,32,35
680,Palestinian,32,35
681,Palestinian,32,35
682,Palestinian,32,35
683,Palestinian,32,35
684,Palestinian,32,35
685,Palestinian,32,35
686,Palestinian,32,35
687,Palestinian,32,35
688,Palestinian,32,35
689,Palestinian,32,35
690,Palestinian,32,35
691,Palestinian,32,35
692,Palestinian,32,35
693,Palestinian,32,35
694,Palestinian,32,35
695,Palestinian,32,35
696,Palestinian,32,35
697,Palestinian,32,35
698,Palestinian,32,35
699,Palestinian,32,35
700,Palestinian,32,35
722,Palestinian,32,35
723,Palestinian,32,35
724,Palestinian,32,35
725,Palestinian,32,35
726,Palestinian,32,35
727,Palestinian,32,35
728,Palestinian,32,35
729,Palestinian,32,35
730,Palestinian,32,35
731,Palestinian,32,35
732,Palestinian,32,35
733,Palestinian,32,35
734,Palestinian,32,35
735,Palestinian,32,35
736,Palestinian,32,35
737,Palestinian,32,35
738,Palestinian,32,35
739,Palestinian,32,35
740,Palestinian,32,35
741,Palestinian,32,35
742,Palestinian,32,35
743,Palestinian,32,35
744,Palestinian,32,35
745,Palestinian,32,35
746,Palestinian,32,35
52,Balochi,30.49871492,66.5
54,Balochi,30.49871492,66.5
56,Balochi,30.49871492,66.5
57,Balochi,30.49871492,66.5
58,Balochi,30.49871492,66.5
60,Balochi,30.49871492,66.5
62,Balochi,30.49871492,66.5
64,Balochi,30.49871492,66.5
66,Balochi,30.49871492,66.5
68,Balochi,30.49871492,66.5
70,Balochi,30.49871492,66.5
72,Balochi,30.49871492,66.5
74,Balochi,30.49871492,66.5
76,Balochi,30.49871492,66.5
78,Balochi,30.49871492,66.5
80,Balochi,30.49871492,66.5
82,Balochi,30.49871492,66.5
84,Balochi,30.49871492,66.5
86,Balochi,30.49871492,66.5
88,Balochi,30.49871492,66.5
90,Balochi,30.49871492,66.5
92,Balochi,30.49871492,66.5
94,Balochi,30.49871492,66.5
96,Balochi,30.49871492,66.5
98,Balochi,30.49871492,66.5
1,Brahui,30.49871492,66.5
3,Brahui,30.49871492,66.5
5,Brahui,30.49871492,66.5
7,Brahui,30.49871492,66.5
9,Brahui,30.49871492,66.5
11,Brahui,30.49871492,66.5
13,Brahui,30.49871492,66.5
15,Brahui,30.49871492,66.5
17,Brahui,30.49871492,66.5
19,Brahui,30.49871492,66.5
21,Brahui,30.49871492,66.5
23,Brahui,30.49871492,66.5
25,Brahui,30.49871492,66.5
27,Brahui,30.49871492,66.5
29,Brahui,30.49871492,66.5
31,Brahui,30.49871492,66.5
33,Brahui,30.49871492,66.5
35,Brahui,30.49871492,66.5
37,Brahui,30.49871492,66.5
39,Brahui,30.49871492,66.5
41,Brahui,30.49871492,66.5
43,Brahui,30.49871492,66.5
45,Brahui,30.49871492,66.5
47,Brahui,30.49871492,66.5
49,Brahui,30.49871492,66.5
336,Burusho,36.49838568,74
338,Burusho,36.49838568,74
341,Burusho,36.49838568,74
346,Burusho,36.49838568,74
351,Burusho,36.49838568,74
356,Burusho,36.49838568,74
359,Burusho,36.49838568,74
364,Burusho,36.49838568,74
371,Burusho,36.49838568,74
372,Burusho,36.49838568,74
376,Burusho,36.49838568,74
382,Burusho,36.49838568,74
388,Burusho,36.49838568,74
392,Burusho,36.49838568,74
397,Burusho,36.49838568,74
402,Burusho,36.49838568,74
407,Burusho,36.49838568,74
412,Burusho,36.49838568,74
417,Burusho,36.49838568,74
423,Burusho,36.49838568,74
428,Burusho,36.49838568,74
433,Burusho,36.49838568,74
438,Burusho,36.49838568,74
444,Burusho,36.49838568,74
445,Burusho,36.49838568,74
99,Hazara,33.49855601,70
100,Hazara,33.49855601,70
102,Hazara,33.49855601,70
103,Hazara,33.49855601,70
104,Hazara,33.49855601,70
105,Hazara,33.49855601,70
106,Hazara,33.49855601,70
108,Hazara,33.49855601,70
109,Hazara,33.49855601,70
110,Hazara,33.49855601,70
112,Hazara,33.49855601,70
113,Hazara,33.49855601,70
115,Hazara,33.49855601,70
116,Hazara,33.49855601,70
118,Hazara,33.49855601,70
119,Hazara,33.49855601,70
120,Hazara,33.49855601,70
121,Hazara,33.49855601,70
122,Hazara,33.49855601,70
124,Hazara,33.49855601,70
125,Hazara,33.49855601,70
127,Hazara,33.49855601,70
128,Hazara,33.49855601,70
129,Hazara,33.49855601,70
267,Kalash,35.99366014,71.5
274,Kalash,35.99366014,71.5
277,Kalash,35.99366014,71.5
279,Kalash,35.99366014,71.5
281,Kalash,35.99366014,71.5
285,Kalash,35.99366014,71.5
286,Kalash,35.99366014,71.5
288,Kalash,35.99366014,71.5
290,Kalash,35.99366014,71.5
292,Kalash,35.99366014,71.5
298,Kalash,35.99366014,71.5
302,Kalash,35.99366014,71.5
304,Kalash,35.99366014,71.5
307,Kalash,35.99366014,71.5
309,Kalash,35.99366014,71.5
311,Kalash,35.99366014,71.5
313,Kalash,35.99366014,71.5
315,Kalash,35.99366014,71.5
319,Kalash,35.99366014,71.5
321,Kalash,35.99366014,71.5
323,Kalash,35.99366014,71.5
326,Kalash,35.99366014,71.5
328,Kalash,35.99366014,71.5
330,Kalash,35.99366014,71.5
333,Kalash,35.99366014,71.5
130,Makrani,26,64
131,Makrani,26,64
133,Makrani,26,64
134,Makrani,26,64
135,Makrani,26,64
136,Makrani,26,64
137,Makrani,26,64
139,Makrani,26,64
140,Makrani,26,64
141,Makrani,26,64
143,Makrani,26,64
144,Makrani,26,64
145,Makrani,26,64
146,Makrani,26,64
148,Makrani,26,64
149,Makrani,26,64
150,Makrani,26,64
151,Makrani,26,64
153,Makrani,26,64
154,Makrani,26,64
155,Makrani,26,64
157,Makrani,26,64
158,Makrani,26,64
160,Makrani,26,64
161,Makrani,26,64
213,Pathan,33.48700562,70.5
214,Pathan,33.48700562,70.5
216,Pathan,33.48700562,70.5
218,Pathan,33.48700562,70.5
222,Pathan,33.48700562,70.5
224,Pathan,33.48700562,70.5
226,Pathan,33.48700562,70.5
228,Pathan,33.48700562,70.5
230,Pathan,33.48700562,70.5
232,Pathan,33.48700562,70.5
234,Pathan,33.48700562,70.5
237,Pathan,33.48700562,70.5
239,Pathan,33.48700562,70.5
241,Pathan,33.48700562,70.5
243,Pathan,33.48700562,70.5
244,Pathan,33.48700562,70.5
247,Pathan,33.48700562,70.5
248,Pathan,33.48700562,70.5
251,Pathan,33.48700562,70.5
254,Pathan,33.48700562,70.5
258,Pathan,33.48700562,70.5
259,Pathan,33.48700562,70.5
262,Pathan,33.48700562,70.5
264,Pathan,33.48700562,70.5
163,Sindhi,25.49063551,69
165,Sindhi,25.49063551,69
167,Sindhi,25.49063551,69
169,Sindhi,25.49063551,69
171,Sindhi,25.49063551,69
173,Sindhi,25.49063551,69
175,Sindhi,25.49063551,69
177,Sindhi,25.49063551,69
179,Sindhi,25.49063551,69
181,Sindhi,25.49063551,69
183,Sindhi,25.49063551,69
185,Sindhi,25.49063551,69
187,Sindhi,25.49063551,69
189,Sindhi,25.49063551,69
191,Sindhi,25.49063551,69
192,Sindhi,25.49063551,69
195,Sindhi,25.49063551,69
197,Sindhi,25.49063551,69
199,Sindhi,25.49063551,69
201,Sindhi,25.49063551,69
203,Sindhi,25.49063551,69
205,Sindhi,25.49063551,69
206,Sindhi,25.49063551,69
208,Sindhi,25.49063551,69
210,Sindhi,25.49063551,69
490,Melanesian,-6,155
491,Melanesian,-6,155
655,Melanesian,-6,155
656,Melanesian,-6,155
657,Melanesian,-6,155
658,Melanesian,-6,155
660,Melanesian,-6,155
661,Melanesian,-6,155
662,Melanesian,-6,155
663,Melanesian,-6,155
664,Melanesian,-6,155
787,Melanesian,-6,155
788,Melanesian,-6,155
789,Melanesian,-6,155
823,Melanesian,-6,155
824,Melanesian,-6,155
825,Melanesian,-6,155
978,Melanesian,-6,155
1027,Melanesian,-6,155
540,Papuan,-4,143
541,Papuan,-4,143
542,Papuan,-4,143
543,Papuan,-4,143
544,Papuan,-4,143
545,Papuan,-4,143
546,Papuan,-4,143
547,Papuan,-4,143
548,Papuan,-4,143
549,Papuan,-4,143
550,Papuan,-4,143
551,Papuan,-4,143
552,Papuan,-4,143
553,Papuan,-4,143
554,Papuan,-4,143
555,Papuan,-4,143
556,Papuan,-4,143
702,Colombian,3,-68
703,Colombian,3,-68
704,Colombian,3,-68
705,Colombian,3,-68
706,Colombian,3,-68
707,Colombian,3,-68
708,Colombian,3,-68
709,Colombian,3,-68
710,Colombian,3,-68
792,Colombian,3,-68
793,Colombian,3,-68
827,Colombian,3,-68
970,Colombian,3,-68
995,Karitiana,-10,-63
996,Karitiana,-10,-63
997,Karitiana,-10,-63
998,Karitiana,-10,-63
999,Karitiana,-10,-63
1000,Karitiana,-10,-63
1001,Karitiana,-10,-63
1003,Karitiana,-10,-63
1004,Karitiana,-10,-63
1005,Karitiana,-10,-63
1006,Karitiana,-10,-63
1007,Karitiana,-10,-63
1008,Karitiana,-10,-63
1009,Karitiana,-10,-63
1010,Karitiana,-10,-63
1011,Karitiana,-10,-63
1012,Karitiana,-10,-63
1013,Karitiana,-10,-63
1014,Karitiana,-10,-63
1015,Karitiana,-10,-63
1016,Karitiana,-10,-63
1017,Karitiana,-10,-63
1018,Karitiana,-10,-63
1019,Karitiana,-10,-63
830,Surui,-11,-62
832,Surui,-11,-62
833,Surui,-11,-62
834,Surui,-11,-62
835,Surui,-11,-62
837,Surui,-11,-62
838,Surui,-11,-62
839,Surui,-11,-62
840,Surui,-11,-62
841,Surui,-11,-62
842,Surui,-11,-62
843,Surui,-11,-62
844,Surui,-11,-62
845,Surui,-11,-62
846,Surui,-11,-62
847,Surui,-11,-62
848,Surui,-11,-62
849,Surui,-11,-62
850,Surui,-11,-62
851,Surui,-11,-62
852,Surui,-11,-62
854,Maya,19,-91
855,Maya,19,-91
856,Maya,19,-91
857,Maya,19,-91
858,Maya,19,-91
859,Maya,19,-91
860,Maya,19,-91
861,Maya,19,-91
862,Maya,19,-91
863,Maya,19,-91
864,Maya,19,-91
865,Maya,19,-91
866,Maya,19,-91
867,Maya,19,-91
868,Maya,19,-91
869,Maya,19,-91
870,Maya,19,-91
871,Maya,19,-91
872,Maya,19,-91
873,Maya,19,-91
874,Maya,19,-91
875,Maya,19,-91
876,Maya,19,-91
877,Maya,19,-91
878,Maya,19,-91
1037,Pima,29,-108
1038,Pima,29,-108
1039,Pima,29,-108
1040,Pima,29,-108
1041,Pima,29,-108
1042,Pima,29,-108
1043,Pima,29,-108
1044,Pima,29,-108
1045,Pima,29,-108
1046,Pima,29,-108
1047,Pima,29,-108
1048,Pima,29,-108
1049,Pima,29,-108
1050,Pima,29,-108
1051,Pima,29,-108
1052,Pima,29,-108
1053,Pima,29,-108
1054,Pima,29,-108
1055,Pima,29,-108
1056,Pima,29,-108
1057,Pima,29,-108
1058,Pima,29,-108
1059,Pima,29,-108
1060,Pima,29,-108
1061,Pima,29,-108
993,BantuSouthAfrica,-25.56926433,24.25
994,BantuSouthAfrica,-25.56926433,24.25
1028,BantuSouthAfrica,-25.56926433,24.25
1030,BantuSouthAfrica,-25.56926433,24.25
1031,BantuSouthAfrica,-25.56926433,24.25
1033,BantuSouthAfrica,-25.56926433,24.25
1034,BantuSouthAfrica,-25.56926433,24.25
1035,BantuSouthAfrica,-25.56926433,24.25
1405,BantuKenya,-3,37
1406,BantuKenya,-3,37
1408,BantuKenya,-3,37
1411,BantuKenya,-3,37
1412,BantuKenya,-3,37
1413,BantuKenya,-3,37
1414,BantuKenya,-3,37
1415,BantuKenya,-3,37
1416,BantuKenya,-3,37
1417,BantuKenya,-3,37
1418,BantuKenya,-3,37
1419,BantuKenya,-3,37
904,Mandenka,12,-12
905,Mandenka,12,-12
906,Mandenka,12,-12
907,Mandenka,12,-12
908,Mandenka,12,-12
909,Mandenka,12,-12
910,Mandenka,12,-12
911,Mandenka,12,-12
912,Mandenka,12,-12
913,Mandenka,12,-12
914,Mandenka,12,-12
915,Mandenka,12,-12
916,Mandenka,12,-12
917,Mandenka,12,-12
918,Mandenka,12,-12
919,Mandenka,12,-12
1199,Mandenka,12,-12
1200,Mandenka,12,-12
1201,Mandenka,12,-12
1202,Mandenka,12,-12
1283,Mandenka,12,-12
1284,Mandenka,12,-12
1285,Mandenka,12,-12
1286,Mandenka,12,-12
920,Yoruba,7.995094727,5
921,Yoruba,7.995094727,5
922,Yoruba,7.995094727,5
923,Yoruba,7.995094727,5
924,Yoruba,7.995094727,5
925,Yoruba,7.995094727,5
926,Yoruba,7.995094727,5
927,Yoruba,7.995094727,5
928,Yoruba,7.995094727,5
929,Yoruba,7.995094727,5
930,Yoruba,7.995094727,5
931,Yoruba,7.995094727,5
932,Yoruba,7.995094727,5
933,Yoruba,7.995094727,5
934,Yoruba,7.995094727,5
935,Yoruba,7.995094727,5
936,Yoruba,7.995094727,5
937,Yoruba,7.995094727,5
938,Yoruba,7.995094727,5
939,Yoruba,7.995094727,5
940,Yoruba,7.995094727,5
941,Yoruba,7.995094727,5
942,Yoruba,7.995094727,5
943,Yoruba,7.995094727,5
944,Yoruba,7.995094727,5
448,BiakaPygmy,4,17
451,BiakaPygmy,4,17
452,BiakaPygmy,4,17
453,BiakaPygmy,4,17
454,BiakaPygmy,4,17
455,BiakaPygmy,4,17
457,BiakaPygmy,4,17
458,BiakaPygmy,4,17
459,BiakaPygmy,4,17
460,BiakaPygmy,4,17
461,BiakaPygmy,4,17
464,BiakaPygmy,4,17
465,BiakaPygmy,4,17
466,BiakaPygmy,4,17
469,BiakaPygmy,4,17
470,BiakaPygmy,4,17
472,BiakaPygmy,4,17
