"","assign"
"1","20"
"2","20"
"3","20"
"4","20"
"5","25"
"6","20"
"7","24"
"8","20"
"9","24"
"10","25"
"11","25"
"12","20"
"13","21"
"14","20"
"15","22"
"16","25"
"17","21"
"18","21"
"19","21"
"20","21"
"21","21"
"22","21"
"23","38"
"24","21"
"25","21"
"26","21"
"27","21"
"28","21"
"29","21"
"30","21"
"31","21"
"32","21"
"33","21"
"34","22"
"35","22"
"36","22"
"37","22"
"38","22"
"39","22"
"40","22"
"41","22"
"42","22"
"43","22"
"44","22"
"45","22"
"46","22"
"47","22"
"48","22"
"49","22"
"50","20"
"51","22"
"52","22"
"53","22"
"54","22"
"55","22"
"56","22"
"57","22"
"58","22"
"59","24"
"60","24"
"61","24"
"62","24"
"63","24"
"64","24"
"65","24"
"66","24"
"67","24"
"68","24"
"69","24"
"70","28"
"71","24"
"72","24"
"73","28"
"74","24"
"75","24"
"76","24"
"77","24"
"78","24"
"79","24"
"80","24"
"81","24"
"82","24"
"83","25"
"84","27"
"85","22"
"86","20"
"87","25"
"88","25"
"89","25"
"90","25"
"91","25"
"92","25"
"93","25"
"94","25"
"95","25"
"96","25"
"97","25"
"98","25"
"99","25"
"100","25"
"101","20"
"102","25"
"103","25"
"104","24"
"105","25"
"106","24"
"107","25"
"108","27"
"109","22"
"110","28"
"111","24"
"112","27"
"113","27"
"114","25"
"115","28"
"116","27"
"117","27"
"118","28"
"119","25"
"120","29"
"121","27"
"122","28"
"123","27"
"124","27"
"125","24"
"126","28"
"127","27"
"128","25"
"129","28"
"130","28"
"131","28"
"132","28"
"133","28"
"134","28"
"135","28"
"136","28"
"137","28"
"138","28"
"139","24"
"140","28"
"141","29"
"142","28"
"143","28"
"144","28"
"145","28"
"146","28"
"147","28"
"148","28"
"149","28"
"150","24"
"151","28"
"152","28"
"153","21"
"154","21"
"155","25"
"156","29"
"157","29"
"158","24"
"159","29"
"160","29"
"161","34"
"162","34"
"163","34"
"164","34"
"165","34"
"166","34"
"167","34"
"168","34"
"169","34"
"170","34"
"171","34"
"172","34"
"173","34"
"174","34"
"175","34"
"176","34"
"177","34"
"178","441"
"179","441"
"180","34"
"181","34"
"182","34"
"183","34"
"184","34"
"185","34"
"186","34"
"187","34"
"188","34"
"189","34"
"190","34"
"191","36"
"192","36"
"193","38"
"194","36"
"195","38"
"196","36"
"197","38"
"198","37"
"199","36"
"200","36"
"201","38"
"202","36"
"203","38"
"204","38"
"205","441"
"206","36"
"207","36"
"208","36"
"209","36"
"210","38"
"211","36"
"212","36"
"213","38"
"214","36"
"215","36"
"216","38"
"217","36"
"218","36"
"219","38"
"220","36"
"221","38"
"222","36"
"223","36"
"224","36"
"225","36"
"226","36"
"227","36"
"228","38"
"229","38"
"230","36"
"231","36"
"232","36"
"233","36"
"234","36"
"235","36"
"236","36"
"237","38"
"238","36"
"239","37"
"240","37"
"241","37"
"242","37"
