Population,Latitude[DegreesNorth],Longitude[DegreesEast],X=cos[Lat]cos[Long],Y=cos[Lat]sin[Long],Z=sin[Lat]
Adygei,44,39,0.5590320207,0.4526952044,0.6946583705
Balochi,30.49871492,66.5,0.3435783646,0.7901761411,0.5075190375
BantuKenya,-3,37,0.7975410078,0.6009902566,-0.05233595624
BantuSouthAfrica,-25.56926433,24.25,0.822467884,0.3704947667,-0.4316019088
Basque,43,0,0.7313537016,0,0.6819983601
Bedouin,31,35,0.7021503467,0.4916509657,0.5150380749
BiakaPygmy,4,17,0.9539752456,0.2916595019,0.06975647374
Brahui,30.49871492,66.5,0.3435783646,0.7901761411,0.5075190375
Burusho,36.49838568,74,0.2215775989,0.7727329188,0.5948001377
Cambodian,12,105,-0.253163228,0.9448180295,0.2079116908
Colombian,3,-68,0.3740932081,-0.9259131813,0.05233595624
Dai,21,100,-0.1621145398,0.9193972421,0.3583679495
Daur,48.49753416,124,-0.3705504527,0.549363638,0.7489272029
Druze,32,35,0.6946803316,0.4864204048,0.5299192642
French,46,2,0.6942352033,0.02424322751,0.7193398003
Han,32.26566812,114,-0.3439291303,0.7724774743,0.5338457689
Han-NChina,32.26566812,114,-0.3439291303,0.7724774743,0.5338457689
Hazara,33.49855601,70,0.2852105058,0.7836094246,0.5519159692
Herero,-22,19,0.8766695575,0.3018615364,-0.3746065934
Hezhen,47.4976192,133.5,-0.4650666987,0.490078044,0.7372492635
Italian,46,10,0.6841049489,0.1206261601,0.7193398003
Japanese,38,138,-0.585606114,0.5272821134,0.6156614753
Kalash,35.99366014,71.5,0.2567254951,0.7672716268,0.5876957298
Karitiana,-10,-63,0.4470933639,-0.877470133,-0.1736481777
Lahu,22,100,-0.1610037867,0.9130978484,0.3746065934
Makrani,26,64,0.3940053768,0.8078307377,0.4383711468
Mandenka,12,-12,0.9567727288,-0.2033683215,0.2079116908
Maya,19,-91,-0.01650157447,-0.9453745685,0.3255681545
MbutiPygmy,1,29,0.8744864983,0.4847357814,0.01745240644
Melanesian,-6,155,-0.9013429382,0.4203031147,-0.1045284633
Miao,28,109,-0.2874596183,0.8348433503,0.4694715628
Mongola,45,111,-0.2534044073,0.6601410504,0.7071067812
Mozabite,32,3,0.8468858757,0.04438340805,0.5299192642
Naxi,26,100,-0.1560739482,0.8851393452,0.4383711468
Orcadian,59,-3,0.5143322331,-0.02695501015,0.8571673007
Oroqen,50.43389257,126.5,-0.3788831351,0.5120311701,0.7708901678
Ovambo,-19,18,0.8992416026,0.2921813084,-0.3255681545
Palestinian,32,35,0.6946803316,0.4864204048,0.5299192642
Papuan,-4,143,-0.7966900741,0.600349032,-0.06975647374
Pathan,33.48700562,70.5,0.2783985848,0.786173351,0.5517478502
Pedi,-29,30,0.757442885,0.4373098536,-0.4848096202
Pima,29,-108,-0.2702723531,-0.8318127718,0.4848096202
Russian,61,40,0.3713857156,0.311629617,0.8746197071
San,-21,20,0.8772786377,0.3193033113,-0.3583679495
Sardinian,40,9,0.7566131648,0.1198357527,0.6427876097
She,27,119,-0.4319685346,0.7792918652,0.4539904997
Sindhi,25.49063551,69,0.3234828493,0.8427016332,0.4303635715
Sotho,-29,29,0.7649596321,0.4240240481,-0.4848096202
Surui,-11,-62,0.4608460479,-0.8667253587,-0.1908089954
Tswana,-28,24,0.8066127628,0.3591271399,-0.4694715628
Tu,36,101,-0.1543677199,0.7941530735,0.5877852523
Tujia,29,109,-0.2847483239,0.8269691797,0.4848096202
Tuscan,43,11,0.7179166742,0.1395488651,0.6819983601
Uygur,44,81,0.1125295368,0.7104835337,0.6946583705
Xibo,43.49792973,81.5,0.1072208349,0.7174313585,0.6883283653
Yakut,62.98287845,129.5,-0.2889428166,0.3505156652,0.8908708196
Yi,28,103,-0.1986199919,0.8603177033,0.4694715628
Yoruba,7.995094727,5,0.9865116659,0.0863085872,0.1390883205
Zulu,-28,31,0.7568338048,0.4547516285,-0.4694715628
